SYSTEM_CODE,ENVIRONMENT,ACCOUNT_TYPE,CIF_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,PRODUCT,BRANCH,DATE OPEN,CURRENT INT RATE,INTEREST TERM,ACC STATUS,DATE OF STATUS,ACCOUNT CURRENCY,NPL TAG,SEGMENT,Current Balance,Previous day balance,Privious Month end balance
PAWNING,DBU,LOAN,76062,1000015,Customer_76062,CURRPRO,21,"Friday, June 14, 2019",0.1235,30,Active,7/14/2019,LKR,N,RETAIL,521732.05,517218.71,479019.77
PAWNING,FCBU,LOAN,31149,1000016,Customer_31149,CURRPRO,50,"Wednesday, April 08, 2020",0.1997,180,Active,5/8/2020,LKR,N,RETAIL,1334498.82,1354011.11,1402740.86
PAWNING,FCBU,SAVINGS,62568,1000017,Customer_62568,FDFIXED,31,"Saturday, June 26, 2021",0.0276,180,Dormant,7/26/2021,USD,N,CORPORATE,997622.44,999727.67,1038840.78
CORE,FCBU,CURRENT,85762,1000018,Customer_85762,SAREGPEF,28,"Sunday, May 14, 2023",0.0176,90,Dormant,6/13/2023,LKR,N,SME,881217.51,886406.84,910606.2
PAWNING,FCBU,SAVINGS,53394,1000019,Customer_53394,CURRPRO,40,"Tuesday, September 11, 2018",0.0317,30,Dormant,10/11/2018,USD,N,SME,1940099.08,1932178.2,1659434.53
PAWNING,FCBU,SAVINGS,44241,1000020,Customer_44241,FDFIXED,32,"Sunday, June 27, 2021",0.0109,180,Dormant,7/27/2021,USD,N,RETAIL,207563.16,208267.62,185097.97
CORE,DBU,CURRENT,96004,1000021,Customer_96004,LOANGEN,8,"Friday, July 01, 2022",0.0199,365,Dormant,7/31/2022,LKR,N,CORPORATE,530989.2,530544.7,473715.36
PAWNING,FCBU,SAVINGS,26343,1000022,Customer_26343,FDFIXED,8,"Wednesday, January 16, 2019",0.0219,180,Dormant,2/15/2019,USD,N,CORPORATE,1266778.12,1287939.88,1454298.79
CORE,DBU,FD,47177,1000023,Customer_47177,SAREGPEF,48,"Tuesday, March 19, 2024",0.1141,365,Active,4/18/2024,USD,N,SME,1493083.5,1514045.25,1600532.67
PAWNING,FCBU,SAVINGS,47780,1000024,Customer_47780,CURRPRO,11,"Tuesday, March 22, 2022",0.0119,365,Active,4/21/2022,USD,N,SME,1518877.66,1500846.65,1503787.25
LEASE,DBU,SAVINGS,62427,1000025,Customer_62427,LOANGEN,11,"Saturday, March 25, 2017",0.0362,90,Dormant,4/24/2017,USD,N,CORPORATE,953482.94,962317.43,935385.84
LEASE,FCBU,CURRENT,94536,1000026,Customer_94536,CURRPRO,4,"Sunday, September 04, 2022",0.0265,365,Dormant,10/4/2022,USD,N,SME,364429.04,368793.14,316524.29
LEASE,FCBU,FD,24011,1000027,Customer_24011,CURRPRO,6,"Friday, September 16, 2022",0.1212,30,Active,10/16/2022,LKR,N,CORPORATE,1972436.05,1999754.92,2133236.08
CORE,FCBU,CURRENT,61049,1000028,Customer_61049,CURRPRO,8,"Friday, December 06, 2024",0.0214,30,Active,1/5/2025,LKR,N,RETAIL,1554563.1,1569964.91,1369172.02
LEASE,FCBU,LOAN,81360,1000029,Customer_81360,SAREGPEF,18,"Friday, November 06, 2020",0.1385,30,Active,12/6/2020,USD,N,CORPORATE,951083.22,934449.46,1087235.38
CORE,FCBU,SAVINGS,82626,1000030,Customer_82626,FDFIXED,9,"Monday, January 02, 2023",0.0303,365,Dormant,2/1/2023,USD,N,CORPORATE,1259207.89,1267629.02,1187261.51
PAWNING,DBU,FD,46414,1000031,Customer_46414,LOANGEN,19,"Wednesday, April 24, 2024",0.1053,90,Dormant,5/24/2024,USD,N,SME,100774.66,102251.46,102988.02
LEASE,FCBU,FD,16601,1000032,Customer_16601,CURRPRO,19,"Monday, July 01, 2024",0.116,90,Active,7/31/2024,USD,N,CORPORATE,1381184.63,1370302.76,1265523.07
PAWNING,FCBU,CURRENT,73531,1000033,Customer_73531,FDFIXED,47,"Monday, September 23, 2024",0.0201,180,Dormant,10/23/2024,LKR,N,SME,1062310.01,1072832.09,1092037.84
LEASE,DBU,SAVINGS,85179,1000034,Customer_85179,CURRPRO,10,"Friday, November 24, 2023",0.0262,30,Dormant,12/24/2023,LKR,N,SME,1272714.68,1260976.12,1134409.66
CORE,FCBU,LOAN,50041,1000035,Customer_50041,CURRPRO,23,"Tuesday, June 07, 2022",0.1462,30,Active,7/7/2022,LKR,N,SME,1752207.78,1785493.33,1845177.31
PAWNING,DBU,FD,13550,1000036,Customer_13550,LOANGEN,34,"Wednesday, March 13, 2024",0.095,180,Active,4/12/2024,LKR,N,RETAIL,1064533.36,1044360,1168312.58
LEASE,DBU,SAVINGS,15649,1000037,Customer_15649,SAREGPEF,44,"Wednesday, October 10, 2018",0.0353,365,Dormant,11/9/2018,USD,N,SME,1898977.34,1935725.03,1857858.52
CORE,FCBU,CURRENT,29914,1000038,Customer_29914,CURRPRO,3,"Thursday, January 24, 2019",0.038,365,Dormant,2/23/2019,LKR,N,CORPORATE,847572.67,837261.36,956042.87
PAWNING,FCBU,SAVINGS,34341,1000039,Customer_34341,CURRPRO,28,"Wednesday, November 30, 2022",0.0326,30,Dormant,12/30/2022,LKR,N,RETAIL,604021.71,610878.38,622932.34
CORE,DBU,CURRENT,35670,1000040,Customer_35670,LOANGEN,42,"Monday, May 02, 2022",0.0128,180,Dormant,6/1/2022,USD,N,CORPORATE,1596735.79,1574804.26,1515694.98
LEASE,DBU,CURRENT,54822,1000041,Customer_54822,CURRPRO,31,"Sunday, November 12, 2017",0.0343,365,Dormant,12/12/2017,LKR,N,CORPORATE,1710308.49,1709957.15,1839908.36
CORE,DBU,LOAN,51663,1000042,Customer_51663,CURRPRO,27,"Friday, December 14, 2018",0.1726,180,Active,1/13/2019,LKR,N,RETAIL,1840938.93,1855872.76,1937811.77
PAWNING,DBU,FD,74948,1000043,Customer_74948,FDFIXED,2,"Sunday, April 19, 2020",0.1252,180,Active,5/19/2020,USD,N,SME,1500108.79,1483521.24,1706155.5
LEASE,DBU,CURRENT,13311,1000044,Customer_13311,LOANGEN,6,"Friday, January 27, 2023",0.0137,90,Dormant,2/26/2023,LKR,N,SME,726310,723837.58,724068.78
PAWNING,DBU,CURRENT,24163,1000045,Customer_24163,FDFIXED,5,"Monday, July 01, 2024",0.0321,30,Dormant,7/31/2024,LKR,N,SME,130061.44,130670.46,120142.2
CORE,DBU,CURRENT,59895,1000046,Customer_59895,CURRPRO,9,"Sunday, April 17, 2022",0.038,180,Active,5/17/2022,LKR,N,RETAIL,473448.36,466921.75,486436.79
CORE,DBU,CURRENT,37247,1000047,Customer_37247,CURRPRO,12,"Thursday, July 04, 2024",0.0176,365,Dormant,8/3/2024,LKR,N,RETAIL,1490186.24,1465436.18,1643259.57
PAWNING,FCBU,CURRENT,71636,1000048,Customer_71636,SAREGPEF,8,"Wednesday, March 06, 2024",0.0219,365,Active,4/5/2024,LKR,N,CORPORATE,738538.1,727906.11,710308.88
CORE,DBU,CURRENT,48633,1000049,Customer_48633,SAREGPEF,34,"Tuesday, July 31, 2018",0.0262,365,Active,8/30/2018,LKR,N,CORPORATE,1477902.94,1465221.45,1507538.84
PAWNING,DBU,SAVINGS,77147,1000050,Customer_77147,CURRPRO,42,"Friday, April 14, 2023",0.0142,180,Dormant,5/14/2023,LKR,N,CORPORATE,1818214.14,1794619.54,1950544.33
CORE,DBU,FD,81013,1000051,Customer_81013,LOANGEN,21,"Tuesday, December 17, 2024",0.13,180,Active,1/16/2025,LKR,N,RETAIL,921288.24,933829.15,978756.8
PAWNING,FCBU,CURRENT,39303,1000052,Customer_39303,FDFIXED,13,"Saturday, July 13, 2019",0.0234,90,Dormant,8/12/2019,LKR,N,RETAIL,1085156.4,1097273.86,1038841.72
CORE,FCBU,CURRENT,27047,1000053,Customer_27047,LOANGEN,17,"Tuesday, August 01, 2023",0.0251,30,Dormant,8/31/2023,LKR,N,CORPORATE,948309.65,966662.59,987309.95
PAWNING,DBU,SAVINGS,78273,1000054,Customer_78273,SAREGPEF,29,"Thursday, May 10, 2018",0.035,180,Active,6/9/2018,LKR,N,RETAIL,710042.01,720036.46,780295.31
CORE,DBU,SAVINGS,49713,1000055,Customer_49713,CURRPRO,10,"Thursday, June 02, 2022",0.0229,180,Active,7/2/2022,LKR,N,SME,472597.29,478550.65,463062.04
LEASE,FCBU,FD,20964,1000056,Customer_20964,SAREGPEF,44,"Friday, February 02, 2024",0.0828,365,Active,3/3/2024,USD,N,SME,44702.1,43954.4,42381.35
PAWNING,DBU,LOAN,83822,1000057,Customer_83822,CURRPRO,43,"Sunday, November 24, 2024",0.1503,30,Active,12/24/2024,LKR,N,CORPORATE,1052946.76,1040069.99,1208554.69
CORE,FCBU,LOAN,95454,1000058,Customer_95454,SAREGPEF,37,"Wednesday, April 29, 2020",0.1581,365,Active,5/29/2020,USD,N,SME,162987.9,162987.31,180077.55
LEASE,FCBU,SAVINGS,86133,1000059,Customer_86133,SAREGPEF,17,"Tuesday, December 28, 2021",0.0209,180,Dormant,1/27/2022,LKR,N,SME,1379954.58,1353081.42,1389945.33
PAWNING,DBU,SAVINGS,33718,1000060,Customer_33718,CURRPRO,37,"Friday, August 25, 2023",0.0278,180,Dormant,9/24/2023,LKR,N,RETAIL,189890.86,189558.83,208555.73
LEASE,FCBU,LOAN,56937,1000061,Customer_56937,SAREGPEF,25,"Thursday, May 24, 2018",0.1989,30,Dormant,6/23/2018,USD,N,SME,1726062.71,1737328.81,1879133.26
CORE,DBU,FD,61944,1000062,Customer_61944,SAREGPEF,25,"Friday, August 11, 2017",0.0911,30,Dormant,9/10/2017,USD,N,RETAIL,75971.7,75310.26,82536.66
CORE,DBU,SAVINGS,86982,1000063,Customer_86982,CURRPRO,23,"Friday, September 15, 2017",0.0143,90,Active,10/15/2017,USD,N,RETAIL,1905553.66,1903327.08,2068404.25
CORE,FCBU,CURRENT,83507,1000064,Customer_83507,LOANGEN,14,"Monday, January 25, 2021",0.016,365,Dormant,2/24/2021,USD,N,RETAIL,1970903.96,1953119.98,2058152.47
PAWNING,DBU,CURRENT,87868,1000065,Customer_87868,CURRPRO,2,"Friday, January 05, 2024",0.0269,30,Active,2/4/2024,LKR,N,SME,167866.11,167629.06,146754.93
CORE,DBU,CURRENT,63665,1000066,Customer_63665,LOANGEN,46,"Sunday, November 22, 2020",0.0202,90,Dormant,12/22/2020,LKR,N,SME,1631036.92,1628403.5,1760663.28
CORE,FCBU,SAVINGS,53198,1000067,Customer_53198,LOANGEN,12,"Saturday, December 26, 2020",0.031,30,Dormant,1/25/2021,USD,N,SME,219173.04,220420.26,193772.6
CORE,DBU,CURRENT,73724,1000068,Customer_73724,CURRPRO,24,"Sunday, August 09, 2020",0.0208,365,Dormant,9/8/2020,USD,N,RETAIL,1516634.21,1486870.36,1612866.28
CORE,FCBU,LOAN,48578,1000069,Customer_48578,CURRPRO,40,"Wednesday, January 17, 2024",0.1511,180,Active,2/16/2024,LKR,N,CORPORATE,500478.66,497422.47,568694.66
PAWNING,DBU,LOAN,23016,1000070,Customer_23016,LOANGEN,37,"Saturday, March 23, 2024",0.1745,180,Dormant,4/22/2024,LKR,N,CORPORATE,1835350.55,1859202.4,2001239.16
PAWNING,FCBU,FD,38245,1000071,Customer_38245,FDFIXED,19,"Monday, January 15, 2024",0.0816,365,Active,2/14/2024,LKR,N,CORPORATE,1939172.74,1927390.19,2017960.26
CORE,FCBU,FD,90724,1000072,Customer_90724,CURRPRO,48,"Saturday, February 19, 2022",0.1369,90,Active,3/21/2022,LKR,N,RETAIL,1230788.48,1229601.62,1402183.62
LEASE,FCBU,LOAN,29832,1000073,Customer_29832,CURRPRO,30,"Thursday, February 15, 2024",0.1957,365,Active,3/16/2024,LKR,N,RETAIL,651878.62,647309.63,650127.61
PAWNING,FCBU,CURRENT,56313,1000074,Customer_56313,LOANGEN,25,"Thursday, January 04, 2018",0.0355,365,Active,2/3/2018,USD,N,CORPORATE,999689.48,995649.83,1101063.98
LEASE,DBU,SAVINGS,31695,1000075,Customer_31695,SAREGPEF,45,"Tuesday, March 04, 2025",0.0263,90,Active,4/3/2025,USD,N,SME,840452.01,828542.62,886807.96
PAWNING,DBU,SAVINGS,20356,1000076,Customer_20356,FDFIXED,43,"Sunday, December 16, 2018",0.0251,90,Dormant,1/15/2019,USD,Y,RETAIL,1302502.6,1327720.01,1148832.17
CORE,DBU,SAVINGS,35900,1000077,Customer_35900,SAREGPEF,25,"Monday, May 04, 2020",0.0181,30,Dormant,6/3/2020,LKR,N,RETAIL,192809.19,194520.13,198508.34
LEASE,DBU,FD,52666,1000078,Customer_52666,CURRPRO,12,"Friday, June 29, 2018",0.1086,90,Dormant,7/29/2018,LKR,N,SME,1285230.74,1297951.84,1235191.26
CORE,FCBU,LOAN,62305,1000079,Customer_62305,SAREGPEF,12,"Thursday, June 13, 2019",0.1385,365,Dormant,7/13/2019,USD,N,CORPORATE,1147410.74,1128079.49,1046113.8
CORE,FCBU,FD,65055,1000080,Customer_65055,CURRPRO,13,"Sunday, December 02, 2018",0.1383,365,Dormant,1/1/2019,LKR,N,RETAIL,1363750,1341689.01,1319523.93
CORE,DBU,SAVINGS,65842,1000081,Customer_65842,SAREGPEF,14,"Sunday, January 28, 2024",0.0352,180,Dormant,2/27/2024,LKR,N,CORPORATE,416127.23,420350.41,377278.15
PAWNING,FCBU,SAVINGS,92039,1000082,Customer_92039,SAREGPEF,10,"Sunday, December 23, 2018",0.033,180,Active,1/22/2019,USD,N,RETAIL,1807828.27,1798953.84,1869486.46
PAWNING,FCBU,LOAN,98386,1000083,Customer_98386,LOANGEN,24,"Tuesday, March 26, 2024",0.1733,30,Active,4/25/2024,LKR,N,SME,1922575.9,1957001.72,1871051.24
PAWNING,DBU,SAVINGS,31811,1000084,Customer_31811,CURRPRO,33,"Friday, August 18, 2017",0.0189,180,Dormant,9/17/2017,LKR,N,RETAIL,1108097.57,1095278.88,1022473.8
LEASE,FCBU,SAVINGS,37933,1000085,Customer_37933,CURRPRO,47,"Tuesday, September 08, 2020",0.0213,180,Dormant,10/8/2020,USD,N,SME,1222073.52,1242118.01,1077314.53
PAWNING,FCBU,CURRENT,95137,1000086,Customer_95137,LOANGEN,19,"Sunday, May 26, 2019",0.014,180,Dormant,6/25/2019,USD,Y,CORPORATE,1414587.15,1425448.06,1397525.1
CORE,FCBU,SAVINGS,74627,1000087,Customer_74627,LOANGEN,32,"Monday, February 20, 2017",0.0256,365,Active,3/22/2017,USD,N,CORPORATE,47185.2,47832.75,43359.43
PAWNING,FCBU,CURRENT,99286,1000088,Customer_99286,LOANGEN,38,"Tuesday, December 10, 2019",0.0258,30,Active,1/9/2020,USD,N,SME,774499.64,765043.49,718471.02
PAWNING,DBU,LOAN,88767,1000089,Customer_88767,LOANGEN,8,"Wednesday, July 17, 2024",0.186,180,Active,8/16/2024,LKR,N,SME,245371.82,245927.94,269928.05
CORE,DBU,SAVINGS,21291,1000090,Customer_21291,CURRPRO,5,"Thursday, May 16, 2019",0.0201,180,Active,6/15/2019,USD,N,RETAIL,1104285.08,1122449.63,1073796
PAWNING,DBU,SAVINGS,70879,1000091,Customer_70879,CURRPRO,1,"Sunday, August 27, 2017",0.0379,90,Active,9/26/2017,LKR,N,RETAIL,823127.05,826225.02,851798.03
CORE,DBU,LOAN,71216,1000092,Customer_71216,LOANGEN,6,"Thursday, July 29, 2021",0.1649,90,Active,8/28/2021,USD,Y,RETAIL,18559.19,18508.74,20537.58
PAWNING,DBU,SAVINGS,88886,1000093,Customer_88886,CURRPRO,7,"Saturday, June 29, 2024",0.0311,90,Active,7/29/2024,USD,N,SME,256959.37,260187.32,264846.97
CORE,FCBU,SAVINGS,15177,1000094,Customer_15177,SAREGPEF,47,"Monday, August 21, 2017",0.0328,180,Active,9/20/2017,USD,N,RETAIL,1157132.64,1134824.97,1235056.13
CORE,DBU,FD,18921,1000095,Customer_18921,LOANGEN,17,"Thursday, May 21, 2020",0.0982,30,Dormant,6/20/2020,USD,N,CORPORATE,1362170.68,1337663.01,1548318.18
LEASE,DBU,CURRENT,33283,1000096,Customer_33283,CURRPRO,25,"Friday, October 04, 2024",0.0159,30,Dormant,11/3/2024,USD,N,RETAIL,901268.29,906129.9,892652.78
CORE,FCBU,LOAN,78963,1000097,Customer_78963,CURRPRO,30,"Saturday, October 02, 2021",0.1568,365,Active,11/1/2021,LKR,Y,SME,93666.01,93555.62,105413.2
CORE,FCBU,LOAN,50160,1000098,Customer_50160,LOANGEN,7,"Friday, August 13, 2021",0.1436,180,Active,9/12/2021,LKR,N,CORPORATE,1478601.35,1461277.51,1440785.75
CORE,DBU,LOAN,83592,1000099,Customer_83592,FDFIXED,36,"Friday, July 14, 2017",0.2074,365,Dormant,8/13/2017,LKR,N,RETAIL,151650.01,151031.66,153783.38
LEASE,DBU,LOAN,68495,1000100,Customer_68495,CURRPRO,17,"Tuesday, March 08, 2022",0.2199,30,Dormant,4/7/2022,USD,N,SME,1810456.07,1804302.07,1690268.4
CORE,FCBU,FD,29826,1000101,Customer_29826,CURRPRO,5,"Sunday, March 29, 2020",0.1339,90,Dormant,4/28/2020,LKR,N,CORPORATE,1417942.47,1437624.98,1602464.75
CORE,DBU,SAVINGS,33209,1000102,Customer_33209,LOANGEN,27,"Thursday, July 12, 2018",0.0282,180,Active,8/11/2018,USD,N,SME,1871430.37,1891218.41,1883314.75
LEASE,FCBU,SAVINGS,28393,1000103,Customer_28393,SAREGPEF,36,"Sunday, July 05, 2020",0.0385,30,Active,8/4/2020,USD,N,CORPORATE,1142777.3,1159794.76,1013542.63
CORE,DBU,SAVINGS,71780,1000104,Customer_71780,LOANGEN,25,"Thursday, May 23, 2024",0.0144,30,Active,6/22/2024,LKR,N,SME,1974801.79,1940707.1,1844015.4
PAWNING,DBU,CURRENT,23340,1000105,Customer_23340,SAREGPEF,26,"Saturday, September 18, 2021",0.0342,180,Dormant,10/18/2021,LKR,N,RETAIL,1494892.49,1489315.06,1530800.8
CORE,DBU,FD,17218,1000106,Customer_17218,SAREGPEF,17,"Saturday, July 07, 2018",0.1049,180,Dormant,8/6/2018,USD,N,CORPORATE,1013243.16,1018689.59,899562.55
PAWNING,DBU,LOAN,27978,1000107,Customer_27978,FDFIXED,27,"Saturday, September 29, 2018",0.1825,180,Dormant,10/29/2018,LKR,N,CORPORATE,189638.39,191785.99,162298.22
CORE,DBU,FD,42233,1000108,Customer_42233,FDFIXED,36,"Saturday, October 28, 2023",0.0804,30,Dormant,11/27/2023,LKR,N,SME,1103551.42,1105916.99,1096816.95
LEASE,DBU,LOAN,13166,1000109,Customer_13166,LOANGEN,10,"Wednesday, May 01, 2019",0.1948,90,Active,5/31/2019,LKR,N,RETAIL,1322622.55,1347385.79,1364614.99
CORE,DBU,FD,39396,1000110,Customer_39396,LOANGEN,11,"Monday, January 24, 2022",0.0853,365,Active,2/23/2022,USD,N,SME,28885.93,28737.51,30202
PAWNING,FCBU,CURRENT,51798,1000111,Customer_51798,LOANGEN,40,"Thursday, November 21, 2024",0.0273,365,Active,12/21/2024,LKR,N,RETAIL,738741.68,733254.35,807941.15
LEASE,FCBU,LOAN,94422,1000112,Customer_94422,CURRPRO,38,"Saturday, February 03, 2018",0.1539,30,Dormant,3/5/2018,USD,N,CORPORATE,865727.98,861239.99,952916.93
PAWNING,FCBU,SAVINGS,73199,1000113,Customer_73199,SAREGPEF,13,"Tuesday, February 06, 2024",0.0139,180,Dormant,3/7/2024,USD,N,SME,1406174.59,1413549.79,1599609.29
PAWNING,DBU,SAVINGS,99748,1000114,Customer_99748,SAREGPEF,3,"Tuesday, July 21, 2020",0.0362,180,Active,8/20/2020,LKR,N,SME,1246247.18,1266470.68,1422492.57
PAWNING,FCBU,CURRENT,57911,1000115,Customer_57911,CURRPRO,10,"Tuesday, August 27, 2024",0.0158,180,Active,9/26/2024,USD,N,CORPORATE,1273265.25,1286854.62,1427105.66
CORE,DBU,FD,95785,1000116,Customer_95785,CURRPRO,28,"Friday, October 23, 2020",0.0861,90,Dormant,11/22/2020,LKR,N,SME,1204770.37,1200478.66,1383684.98
CORE,DBU,CURRENT,26063,1000117,Customer_26063,CURRPRO,50,"Monday, April 13, 2020",0.032,180,Dormant,5/13/2020,USD,N,RETAIL,1728526.05,1715933.89,1791484.02
LEASE,FCBU,LOAN,79234,1000118,Customer_79234,CURRPRO,37,"Tuesday, May 08, 2018",0.1811,90,Active,6/7/2018,USD,N,SME,1210129.54,1190171.51,1262871.26
CORE,DBU,LOAN,39317,1000119,Customer_39317,CURRPRO,15,"Tuesday, September 05, 2023",0.2162,90,Active,10/5/2023,LKR,N,SME,1814837.23,1847497.25,1998244.19
PAWNING,DBU,CURRENT,93462,1000120,Customer_93462,FDFIXED,10,"Tuesday, January 21, 2020",0.0321,30,Dormant,2/20/2020,LKR,N,CORPORATE,1422213.57,1397492.47,1455215.96
CORE,FCBU,FD,65970,1000121,Customer_65970,SAREGPEF,39,"Friday, October 29, 2021",0.1132,365,Active,11/28/2021,USD,N,RETAIL,301527.56,299102.65,321598.51
CORE,DBU,CURRENT,24463,1000122,Customer_24463,CURRPRO,41,"Saturday, June 15, 2019",0.0331,365,Dormant,7/15/2019,LKR,N,RETAIL,1884960.92,1861546.27,1611512.06
PAWNING,FCBU,SAVINGS,25125,1000123,Customer_25125,SAREGPEF,47,"Thursday, April 25, 2019",0.011,180,Active,5/25/2019,LKR,N,CORPORATE,1923585.73,1957395.33,1718377.24
LEASE,DBU,FD,16975,1000124,Customer_16975,SAREGPEF,20,"Thursday, November 14, 2024",0.1017,365,Active,12/14/2024,LKR,N,CORPORATE,1446124.03,1468637.13,1478763.75
CORE,DBU,FD,50316,1000125,Customer_50316,LOANGEN,30,"Thursday, April 30, 2020",0.1133,180,Active,5/30/2020,USD,N,RETAIL,1087426.56,1098221.17,1099417.16
LEASE,DBU,SAVINGS,20833,1000126,Customer_20833,LOANGEN,5,"Thursday, December 16, 2021",0.0207,90,Dormant,1/15/2022,USD,N,CORPORATE,1235030.28,1251413.75,1232020.18
LEASE,FCBU,FD,37623,1000127,Customer_37623,FDFIXED,38,"Wednesday, December 01, 2021",0.1392,90,Dormant,12/31/2021,USD,N,CORPORATE,764815.97,762626.09,727532.94
PAWNING,DBU,CURRENT,41846,1000128,Customer_41846,CURRPRO,37,"Thursday, August 29, 2019",0.0198,90,Dormant,9/28/2019,USD,N,SME,1062422.44,1054063.13,992017.95
LEASE,DBU,LOAN,27130,1000129,Customer_27130,CURRPRO,3,"Tuesday, June 28, 2022",0.1756,90,Dormant,7/28/2022,USD,N,RETAIL,564334.35,560815.96,623380.87
PAWNING,DBU,SAVINGS,62674,1000130,Customer_62674,CURRPRO,28,"Monday, June 12, 2017",0.0158,365,Active,7/12/2017,LKR,N,SME,882169.6,883759.65,936574.27
PAWNING,FCBU,LOAN,43509,1000131,Customer_43509,CURRPRO,34,"Friday, May 26, 2017",0.1222,365,Active,6/25/2017,LKR,Y,SME,1999979.78,2030619.01,2193278.78
PAWNING,FCBU,LOAN,45526,1000132,Customer_45526,SAREGPEF,3,"Tuesday, November 13, 2018",0.2099,180,Dormant,12/13/2018,LKR,N,RETAIL,1768875.6,1798728.92,2004235.19
PAWNING,DBU,CURRENT,18030,1000133,Customer_18030,CURRPRO,3,"Tuesday, January 03, 2017",0.0203,90,Dormant,2/2/2017,USD,N,SME,211624.07,215428.45,198228.32
CORE,FCBU,CURRENT,22363,1000134,Customer_22363,CURRPRO,42,"Wednesday, January 04, 2023",0.0324,365,Active,2/3/2023,LKR,N,CORPORATE,443025.35,443210.43,437512.83
CORE,DBU,SAVINGS,12773,1000135,Customer_12773,CURRPRO,29,"Tuesday, March 14, 2017",0.022,30,Active,4/13/2017,USD,N,RETAIL,777935.89,774615.38,689664.2
CORE,DBU,SAVINGS,46506,1000136,Customer_46506,CURRPRO,15,"Monday, August 02, 2021",0.0193,180,Dormant,9/1/2021,USD,N,SME,1869287.69,1864717.05,1890841.07
CORE,FCBU,SAVINGS,47187,1000137,Customer_47187,CURRPRO,7,"Wednesday, February 16, 2022",0.0322,180,Active,3/18/2022,USD,N,RETAIL,171452.57,172938.81,162182.41
LEASE,FCBU,LOAN,16692,1000138,Customer_16692,FDFIXED,32,"Sunday, October 27, 2024",0.1839,30,Dormant,11/26/2024,LKR,N,RETAIL,361083.92,367244.28,392361.43
